Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Austria,6,11,Sergio Perez,Racing Point BWT Mercedes,6,71,+15.092,8,No
Austria,7,10,Pierre Gasly,AlphaTauri Honda,12,71,+16.682,6,No
Austria,13,23,Alexander Albon,Red Bull Racing Honda,4,67,DNF,0,No
Austria,NC,33,Max Verstappen,Red Bull Racing Honda,2,11,DNF,0,No
Styria,3,33,Max Verstappen,Red Bull Racing Honda,2,71,+33.698,15,No
Styria,4,23,Alexander Albon,Red Bull Racing Honda,6,71,+44.400,12,No
Styria,6,11,Sergio Perez,Racing Point BWT Mercedes,17,71,+62.387,8,No
Styria,15,10,Pierre Gasly,AlphaTauri Honda,7,70,+1 lap,0,No
Hungary,2,33,Max Verstappen,Red Bull Racing Honda,7,70,+8.702,18,No
Hungary,5,23,Alexander Albon,Red Bull Racing Honda,13,70,+78.316,10,No
Hungary,7,11,Sergio Perez,Racing Point BWT Mercedes,4,69,+1 lap,6,No
Hungary,NC,10,Pierre Gasly,AlphaTauri Honda,10,15,DNF,0,No
Great Britain,2,33,Max Verstappen,Red Bull Racing Honda,3,52,+5.856,19,Yes
Great Britain,7,10,Pierre Gasly,AlphaTauri Honda,11,52,+31.188,6,No
Great Britain,8,23,Alexander Albon,Red Bull Racing Honda,12,52,+32.670,4,No
70th Anniversary,1,33,Max Verstappen,Red Bull Racing Honda,4,52,1:19:41.993,25,No
70th Anniversary,5,23,Alexander Albon,Red Bull Racing Honda,9,52,+39.146,10,No
70th Anniversary,11,10,Pierre Gasly,AlphaTauri Honda,7,52,+70.642,0,No
Spain,2,33,Max Verstappen,Red Bull Racing Honda,3,66,+24.177,18,No
Spain,5,11,Sergio Perez,Racing Point BWT Mercedes,4,65,+1 lap,10,No
Spain,8,23,Alexander Albon,Red Bull Racing Honda,6,65,+1 lap,4,No
Spain,9,10,Pierre Gasly,AlphaTauri Honda,10,65,+1 lap,2,No
Belgium,3,33,Max Verstappen,Red Bull Racing Honda,3,44,+15.455,15,No
Belgium,6,23,Alexander Albon,Red Bull Racing Honda,5,44,+42.712,8,No
Belgium,8,10,Pierre Gasly,AlphaTauri Honda,12,44,+47.371,4,No
Belgium,10,11,Sergio Perez,Racing Point BWT Mercedes,8,44,+53.179,1,No
Italy,1,10,Pierre Gasly,AlphaTauri Honda,1,53,1:47:06.056,25,No
Italy,10,11,Sergio Perez,Racing Point BWT Mercedes,4,53,+23.224,1,No
Italy,15,23,Alexander Albon,Red Bull Racing Honda,9,53,+37.533,0,No
Italy,NC,33,Max Verstappen,Red Bull Racing Honda,5,30,DNF,0,No
Tuscany,3,23,Alexander Albon,Red Bull Racing Honda,4,59,+8.064,15,No
Tuscany,5,11,Sergio Perez,Racing Point BWT Mercedes,7,59,+15.650,10,No
Tuscany,NC,33,Max Verstappen,Red Bull Racing Honda,3,0,DNF,0,No
Tuscany,NC,10,Pierre Gasly,AlphaTauri Honda,16,0,DNF,0,No
Russia,2,33,Max Verstappen,Red Bull Racing Honda,2,53,+7.729,18,No
Russia,4,11,Sergio Perez,Racing Point BWT Mercedes,4,53,+30.558,12,No
Russia,9,10,Pierre Gasly,AlphaTauri Honda,9,53,+89.766,2,No
Russia,10,23,Alexander Albon,Red Bull Racing Honda,15,53,+97.860,1,No
Eifel,2,33,Max Verstappen,Red Bull Racing Honda,3,60,+4.470,19,Yes
Eifel,4,11,Sergio Perez,Racing Point BWT Mercedes,9,60,+16.070,12,No
Eifel,6,10,Pierre Gasly,AlphaTauri Honda,12,60,+22.766,8,No
Eifel,NC,23,Alexander Albon,Red Bull Racing Honda,5,23,DNF,0,No
Portugal,3,33,Max Verstappen,Red Bull Racing Honda,3,66,+34.508,15,No
Portugal,5,10,Pierre Gasly,AlphaTauri Honda,9,65,+1 lap,10,No
Portugal,7,11,Sergio Perez,Racing Point BWT Mercedes,5,65,+1 lap,6,No
Portugal,12,23,Alexander Albon,Red Bull Racing Honda,6,65,+1 lap,0,No
Emilia Romagna,6,11,Sergio Perez,Racing Point BWT Mercedes,11,63,+19.652,8,No
Emilia Romagna,15,23,Alexander Albon,Red Bull Racing Honda,6,63,+57.284,0,No
Emilia Romagna,NC,33,Max Verstappen,Red Bull Racing Honda,3,50,DNF,0,No
Emilia Romagna,NC,10,Pierre Gasly,AlphaTauri Honda,4,8,DNF,0,No
Turkey,2,11,Sergio Perez,Racing Point BWT Mercedes,3,58,+31.633,18,No
Turkey,6,33,Max Verstappen,Red Bull Racing Honda,2,58,+44.873,8,No
Turkey,7,23,Alexander Albon,Red Bull Racing Honda,4,58,+46.484,6,No
Turkey,13,10,Pierre Gasly,AlphaTauri Honda,19,57,+1 lap,0,No
Bahrain,2,33,Max Verstappen,Red Bull Racing Honda,3,57,+1.254,19,Yes
Bahrain,3,23,Alexander Albon,Red Bull Racing Honda,4,57,+8.005,15,No
Bahrain,6,10,Pierre Gasly,AlphaTauri Honda,8,57,+11.942,8,No
Bahrain,18,11,Sergio Perez,Racing Point BWT Mercedes,5,53,DNF,0,No
Sakhir,1,11,Sergio Perez,Racing Point BWT Mercedes,5,87,1:31:15.114,25,No
