Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,+1 Pt,Fastest Lap
Bahrain,2,33,Max Verstappen,Red Bull Racing Honda,1.0,56,+0.745,18.0,No,1:33.228
Bahrain,5,11,Sergio Perez,Red Bull Racing Honda,11.0,56,+52.047,10.0,No,1:33.970
Bahrain,17,10,Pierre Gasly,AlphaTauri Honda,5.0,52,DNF,0.0,No,1:34.090
Emilia Romagna,1,33,Max Verstappen,Red Bull Racing Honda,2.0,63,2:02:34.598,25.0,No,1:17.524
Emilia Romagna,7,10,Pierre Gasly,AlphaTauri Honda,5.0,63,+52.818,6.0,No,1:18.782
Emilia Romagna,11,11,Sergio Perez,Red Bull Racing Honda,2.0,63,+67.151,0.0,No,1:18.334
Portugal,2,33,Max Verstappen,Red Bull Racing Honda,3.0,66,+29.148,18.0,No,1:20.695
Portugal,4,11,Sergio Perez,Red Bull Racing Honda,4.0,66,+39.735,12.0,No,1:20.643
Portugal,10,10,Pierre Gasly,AlphaTauri Honda,9.0,66,+76.463,1.0,No,1:22.014
Spain,2,33,Max Verstappen,Red Bull Racing Honda,2.0,66,+15.841,19.0,Yes,1:18.149
Spain,5,11,Sergio Perez,Red Bull Racing Honda,8.0,66,+63.671,10.0,No,1:19.483
Spain,10,10,Pierre Gasly,AlphaTauri Honda,12.0,65,+1 lap,1.0,No,1:21.375
Monaco,1,33,Max Verstappen,Red Bull Racing Honda,2.0,78,1:38:56.820,25.0,No,1:14.649
Monaco,4,11,Sergio Perez,Red Bull Racing Honda,9.0,78,+20.490,12.0,No,1:14.552
Monaco,6,10,Pierre Gasly,AlphaTauri Honda,6.0,78,+53.896,8.0,No,1:15.412
Azerbaijan,1,11,Sergio Perez,Red Bull Racing Honda,6.0,51,2:13:36.410,25.0,No,1:44.687
Azerbaijan,3,10,Pierre Gasly,AlphaTauri Honda,4.0,51,+2.762,15.0,No,1:45.220
Azerbaijan,18,33,Max Verstappen,Red Bull Racing Honda,3.0,45,DNF,0.0,No,1:44.481
France,1,33,Max Verstappen,Red Bull Racing Honda,1.0,53,1:27:25.770,26.0,Yes,1:36.404
France,3,11,Sergio Perez,Red Bull Racing Honda,4.0,53,+8.811,15.0,No,1:36.693
France,7,10,Pierre Gasly,AlphaTauri Honda,6.0,53,+76.596,6.0,No,1:38.103
Styria,1,33,Max Verstappen,Red Bull Racing Honda,1.0,71,1:22:18.925,25.0,No,1:08.017
Styria,4,11,Sergio Perez,Red Bull Racing Honda,4.0,71,+47.434,12.0,No,1:07.894
Styria,NC,10,Pierre Gasly,AlphaTauri Honda,6.0,1,DNF,0.0,No,
Austria,1,33,Max Verstappen,Red Bull Racing Honda,1.0,71,1:23:54.543,26.0,Yes,1:06.200
Austria,6,11,Sergio Perez,Red Bull Racing Honda,3.0,71,+57.915,8.0,No,1:08.192
